id,name
1,Любые
2,Тини
3,Физзы
4,Шорт дринки
5,Шоты
6,Тики
7,Горячие
8,Десерты
9,Классика
10,Лонги
11,Миксы
12,Моктейли
13,На компанию
14,Он зе рокс
15,Простые
16,Пунши
17,Сауэры
18,Смузи
19,Твисты
20,Театр
