id,name
1,Ягодные
2,Сухие
3,Горькие
4,Травяные
5,Кислые
6,Кофейные
7,Мятные
8,Овощные
9,Ореховые
10,Острые
11,Пряные
12,Сладкие
13,Сливочные
14,Соленые
15,Сухие
16,Тропические
17,Фруктовые
18,Цветочные
19,Цитрусовые
20,Шоколадные
