id,name
1,Любой
2,Агава
3,Анис
4,Виноград
5,Вишня
6,Дыня
7,Зерно
8,Какао
9,Картофель
10,Кофе
11,Кукуруза
12,Мед
13,Можжевельник
14,Мята
15,Орехи
16,Персики
17,Пряности
18,Рис
19,Сладости
20,Сливки
21,Сливы
22,Травы
23,Тростник
24,Туйон
25,Фрукты
26,Цветок
27,Цитрусы
28,Шоколад
29,Яблоки
30,Ягоды
31,Абрикосы
